FIRE,pitch,yaw,tick,steamid,name
False,11.471436,-140.22229,177409,76561197989744167,apEX
False,11.471436,-140.22229,177410,76561197989744167,apEX
False,11.471436,-140.22229,177411,76561197989744167,apEX
False,11.471436,-140.22229,177412,76561197989744167,apEX
False,11.471436,-140.22229,177413,76561197989744167,apEX
False,11.471436,-140.22229,177414,76561197989744167,apEX
False,11.471436,-140.22229,177415,76561197989744167,apEX
False,11.471436,-140.22229,177416,76561197989744167,apEX
False,11.471436,-140.22229,177417,76561197989744167,apEX
False,11.471436,-140.22229,177418,76561197989744167,apEX
False,11.471436,-140.22229,177419,76561197989744167,apEX
False,11.471436,-140.22229,177420,76561197989744167,apEX
False,11.471436,-140.22229,177421,76561197989744167,apEX
False,11.471436,-140.22229,177422,76561197989744167,apEX
False,11.471436,-140.22229,177423,76561197989744167,apEX
False,11.471436,-140.22229,177424,76561197989744167,apEX
False,11.471436,-140.22229,177425,76561197989744167,apEX
False,11.471436,-140.22229,177426,76561197989744167,apEX
False,11.471436,-140.22229,177427,76561197989744167,apEX
False,11.471436,-140.22229,177428,76561197989744167,apEX
False,11.471436,-140.22229,177429,76561197989744167,apEX
False,11.471436,-140.22229,177430,76561197989744167,apEX
False,11.471436,-140.22229,177431,76561197989744167,apEX
False,11.471436,-140.22229,177432,76561197989744167,apEX
False,11.471436,-140.22229,177433,76561197989744167,apEX
False,11.471436,-140.22229,177434,76561197989744167,apEX
False,11.471436,-140.22229,177435,76561197989744167,apEX
False,11.471436,-140.22229,177436,76561197989744167,apEX
False,11.471436,-140.22229,177437,76561197989744167,apEX
False,11.471436,-140.22229,177438,76561197989744167,apEX
False,11.471436,-140.22229,177439,76561197989744167,apEX
False,11.471436,-140.22229,177440,76561197989744167,apEX
False,11.471436,-140.22229,177441,76561197989744167,apEX
False,11.471436,-140.22229,177442,76561197989744167,apEX
False,11.471436,-140.22229,177443,76561197989744167,apEX
False,11.471436,-140.22229,177444,76561197989744167,apEX
False,11.471436,-140.22229,177445,76561197989744167,apEX
False,11.471436,-140.22229,177446,76561197989744167,apEX
False,11.471436,-140.22229,177447,76561197989744167,apEX
False,11.471436,-140.22229,177448,76561197989744167,apEX
False,11.471436,-140.22229,177449,76561197989744167,apEX
False,11.471436,-140.22229,177450,76561197989744167,apEX
False,11.471436,-140.22229,177451,76561197989744167,apEX
False,11.471436,-140.22229,177452,76561197989744167,apEX
False,11.471436,-140.22229,177453,76561197989744167,apEX
False,11.471436,-140.22229,177454,76561197989744167,apEX
False,11.471436,-140.22229,177455,76561197989744167,apEX
False,11.471436,-140.22229,177456,76561197989744167,apEX
False,11.471436,-140.22229,177457,76561197989744167,apEX
False,11.471436,-140.3064,177458,76561197989744167,apEX
False,11.471436,-140.51651,177459,76561197989744167,apEX
False,11.513336,-140.8945,177460,76561197989744167,apEX
False,11.555557,-141.48297,177461,76561197989744167,apEX
False,11.639679,-142.15518,177462,76561197989744167,apEX
False,11.72345,-143.12164,177463,76561197989744167,apEX
False,11.8497925,-144.25632,177464,76561197989744167,apEX
