FIRE,pitch,yaw,tick,steamid,name
False,6.775818,70.880005,46781,76561198113666193,ZywOo
False,6.775818,70.880005,46782,76561198113666193,ZywOo
False,6.775818,70.880005,46783,76561198113666193,ZywOo
False,6.775818,70.880005,46784,76561198113666193,ZywOo
False,6.775818,70.880005,46785,76561198113666193,ZywOo
False,6.775818,70.880005,46786,76561198113666193,ZywOo
False,6.775818,70.880005,46787,76561198113666193,ZywOo
False,6.775818,70.880005,46788,76561198113666193,ZywOo
False,6.775818,70.880005,46789,76561198113666193,ZywOo
False,6.775818,70.880005,46790,76561198113666193,ZywOo
False,6.775818,70.880005,46791,76561198113666193,ZywOo
False,6.775818,70.880005,46792,76561198113666193,ZywOo
False,6.775818,70.880005,46793,76561198113666193,ZywOo
False,6.775818,70.880005,46794,76561198113666193,ZywOo
False,6.775818,70.880005,46795,76561198113666193,ZywOo
False,6.775818,70.880005,46796,76561198113666193,ZywOo
False,6.775818,70.880005,46797,76561198113666193,ZywOo
False,6.775818,70.880005,46798,76561198113666193,ZywOo
False,6.775818,70.880005,46799,76561198113666193,ZywOo
False,6.775818,70.880005,46800,76561198113666193,ZywOo
False,6.775818,70.880005,46801,76561198113666193,ZywOo
False,6.775818,70.880005,46802,76561198113666193,ZywOo
False,6.775818,70.880005,46803,76561198113666193,ZywOo
False,6.775818,70.880005,46804,76561198113666193,ZywOo
False,6.775818,70.880005,46805,76561198113666193,ZywOo
False,6.775818,70.880005,46806,76561198113666193,ZywOo
False,6.775818,70.880005,46807,76561198113666193,ZywOo
False,6.775818,70.880005,46808,76561198113666193,ZywOo
False,6.775818,70.880005,46809,76561198113666193,ZywOo
False,6.775818,70.880005,46810,76561198113666193,ZywOo
False,6.775818,70.880005,46811,76561198113666193,ZywOo
False,6.775818,70.880005,46812,76561198113666193,ZywOo
False,6.775818,70.880005,46813,76561198113666193,ZywOo
False,6.775818,70.880005,46814,76561198113666193,ZywOo
False,6.775818,70.880005,46815,76561198113666193,ZywOo
False,6.775818,70.880005,46816,76561198113666193,ZywOo
False,6.775818,70.880005,46817,76561198113666193,ZywOo
False,6.775818,70.880005,46818,76561198113666193,ZywOo
False,6.775818,70.880005,46819,76561198113666193,ZywOo
False,6.775818,70.880005,46820,76561198113666193,ZywOo
False,6.775818,70.880005,46821,76561198113666193,ZywOo
False,6.775818,70.880005,46822,76561198113666193,ZywOo
False,6.775818,70.880005,46823,76561198113666193,ZywOo
False,6.775818,70.880005,46824,76561198113666193,ZywOo
False,6.775818,70.880005,46825,76561198113666193,ZywOo
False,6.775818,70.880005,46826,76561198113666193,ZywOo
False,6.775818,70.880005,46827,76561198113666193,ZywOo
False,6.775818,70.880005,46828,76561198113666193,ZywOo
False,6.775818,70.880005,46829,76561198113666193,ZywOo
False,6.775818,70.880005,46830,76561198113666193,ZywOo
False,6.775818,70.880005,46831,76561198113666193,ZywOo
False,6.775818,70.880005,46832,76561198113666193,ZywOo
False,6.775818,70.880005,46833,76561198113666193,ZywOo
False,6.775818,70.880005,46834,76561198113666193,ZywOo
False,6.775818,70.880005,46835,76561198113666193,ZywOo
False,6.775818,70.880005,46836,76561198113666193,ZywOo
False,6.775818,70.880005,46837,76561198113666193,ZywOo
False,6.775818,70.880005,46838,76561198113666193,ZywOo
False,6.775818,70.880005,46839,76561198113666193,ZywOo
False,6.775818,70.880005,46840,76561198113666193,ZywOo
False,6.775818,70.880005,46841,76561198113666193,ZywOo
False,6.775818,70.880005,46842,76561198113666193,ZywOo
False,6.775818,70.880005,46843,76561198113666193,ZywOo
False,6.775818,70.880005,46844,76561198113666193,ZywOo
False,6.775818,70.880005,46845,76561198113666193,ZywOo
False,6.775818,70.880005,46846,76561198113666193,ZywOo
False,6.775818,70.880005,46847,76561198113666193,ZywOo
False,6.775818,70.880005,46848,76561198113666193,ZywOo
False,6.775818,70.880005,46849,76561198113666193,ZywOo
False,6.775818,70.880005,46850,76561198113666193,ZywOo
False,6.775818,70.880005,46851,76561198113666193,ZywOo
False,6.775818,70.880005,46852,76561198113666193,ZywOo
False,6.775818,70.880005,46853,76561198113666193,ZywOo
False,6.775818,70.880005,46854,76561198113666193,ZywOo
False,6.775818,70.880005,46855,76561198113666193,ZywOo
False,6.775818,70.880005,46856,76561198113666193,ZywOo
False,6.775818,70.880005,46857,76561198113666193,ZywOo
