round_num,start,freeze_end,end,official_end,winner,reason,bomb_plant,bomb_site
1,4,1410,3194,3514,t,ct_killed,,not_planted
2,3514,4794,11045,11365,ct,t_killed,,not_planted
3,11365,12645,17447,17767,ct,t_killed,,not_planted
4,17767,19047,22368,22688,ct,t_killed,,not_planted
5,22688,23968,29896,30216,ct,t_killed,,not_planted
6,30216,33992,35479,35799,ct,t_killed,,not_planted
7,35799,37079,45181,45501,t,ct_killed,43673,bombsite_b
8,45501,46781,54898,55218,ct,bomb_defused,53298,bombsite_b
9,55218,56498,62521,62841,ct,t_killed,,not_planted
10,62841,64121,68333,68653,ct,t_killed,,not_planted
11,68653,72056,75723,76043,ct,t_killed,,not_planted
12,76043,77323,84724,85268,t,ct_killed,82818,bombsite_b
13,85268,103253,107951,108271,ct,bomb_defused,105429,bombsite_b
14,108271,109551,114474,114794,ct,bomb_defused,112101,bombsite_b
15,114794,116074,119330,119650,ct,t_killed,,not_planted
16,119650,120930,128370,128690,ct,bomb_defused,126964,bombsite_b
17,128690,132278,138071,138391,t,bomb_exploded,135447,bombsite_b
18,138391,139671,149466,149786,t,bomb_exploded,146842,bombsite_b
19,149786,154050,161410,161730,ct,time_ran_out,,not_planted
20,161730,163010,168614,168934,ct,t_killed,,not_planted
21,168934,170214,173509,173829,ct,t_killed,,not_planted
22,173829,177140,185835,186155,ct,bomb_defused,184312,bombsite_b
23,186155,187435,193371,193691,ct,bomb_defused,192526,bombsite_b
24,193691,196891,204707,204707,ct,bomb_defused,204017,bombsite_b
