round_num,start,freeze_end,end,official_end,winner,reason,bomb_plant,bomb_site
1,1,1275,6541,6861,ct,t_killed,,not_planted
2,6861,8141,9402,9722,ct,t_killed,,not_planted
3,9722,11002,13761,14081,ct,t_killed,,not_planted
4,14081,15361,21289,21609,ct,t_killed,,not_planted
5,21609,22889,26266,26586,ct,t_killed,,not_planted
6,26586,27866,32785,33105,ct,t_killed,,not_planted
7,33105,36504,42130,42450,ct,t_killed,,not_planted
8,42450,43730,46839,47159,ct,t_killed,,not_planted
9,47159,48439,53764,54084,ct,t_killed,,not_planted
10,54084,55364,59782,60102,t,bomb_exploded,57158,bombsite_b
11,60102,61382,68407,68727,ct,bomb_defused,67321,bombsite_b
12,68727,71927,79819,80363,t,ct_killed,78270,bombsite_b
13,80363,98677,104161,104481,t,ct_killed,102856,bombsite_b
14,104481,105761,108684,109004,t,ct_killed,,not_planted
15,109004,110284,115162,115162,t,ct_killed,,not_planted
