round_num,start,freeze_end,end,official_end,winner,reason,bomb_plant,bomb_site
1,1,1275,7139,7459,t,ct_killed,7062,bombsite_b
2,7459,8739,13042,13362,t,bomb_exploded,10418,bombsite_b
3,13362,14642,22741,23061,t,bomb_exploded,20117,bombsite_b
4,23061,24341,32408,32728,t,bomb_exploded,29784,bombsite_b
5,32728,34008,40245,40565,ct,t_killed,,not_planted
6,40565,41845,47052,47372,t,bomb_exploded,44428,bombsite_b
7,47372,48652,56012,56332,ct,time_ran_out,,not_planted
8,56332,57612,64331,64651,t,ct_killed,63310,bombsite_b
9,64651,68150,76292,76612,ct,bomb_defused,75461,bombsite_b
10,76612,77892,84743,85063,ct,bomb_defused,83020,bombsite_b
11,85063,86343,88208,88528,ct,t_killed,,not_planted
12,88528,91918,97238,97782,t,ct_killed,,not_planted
13,97782,112582,116287,116607,ct,t_killed,,not_planted
14,116607,117887,126096,126416,ct,bomb_defused,123607,bombsite_b
15,126416,127696,136075,136395,t,bomb_exploded,133451,bombsite_b
16,136395,146238,150798,151118,ct,t_killed,,not_planted
17,151118,152398,156128,156448,ct,t_killed,,not_planted
18,156448,160236,167503,167823,t,ct_killed,165904,bombsite_b
19,167823,169103,175809,176129,ct,bomb_defused,174260,bombsite_b
20,176129,177409,186258,186578,t,bomb_exploded,183634,bombsite_b
21,186578,190060,196786,196786,ct,t_killed,,not_planted
