FIRE,pitch,yaw,tick,steamid,name
False,7.889221,24.551361,176198,76561197973140692,mezii
False,7.840805,24.551361,176199,76561197973140692,mezii
False,7.840805,24.551361,176200,76561197973140692,mezii
False,7.792389,24.551361,176201,76561197973140692,mezii
False,7.792389,24.551361,176202,76561197973140692,mezii
False,7.792389,24.551361,176203,76561197973140692,mezii
False,7.840805,24.551361,176204,76561197973140692,mezii
False,7.840805,24.551361,176205,76561197973140692,mezii
False,7.889221,24.551361,176206,76561197973140692,mezii
False,7.937622,24.551361,176207,76561197973140692,mezii
False,7.986023,24.551361,176208,76561197973140692,mezii
False,8.034439,24.502945,176209,76561197973140692,mezii
False,8.082855,24.454529,176210,76561197973140692,mezii
False,8.179657,24.357727,176211,76561197973140692,mezii
False,8.276489,24.30931,176212,76561197973140692,mezii
False,8.421707,24.260895,176213,76561197973140692,mezii
False,8.615341,24.164093,176214,76561197973140692,mezii
False,8.808624,24.115677,176215,76561197973140692,mezii
False,9.050674,23.970459,176216,76561197973140692,mezii
False,9.389526,23.776825,176217,76561197973140692,mezii
False,9.631577,23.679993,176218,76561197973140692,mezii
False,10.018845,23.534775,176219,76561197973140692,mezii
False,10.309296,23.389557,176220,76561197973140692,mezii
False,10.647812,23.292725,176221,76561197973140692,mezii
False,10.986664,23.244324,176222,76561197973140692,mezii
False,11.373932,23.147507,176223,76561197973140692,mezii
False,11.712799,23.09909,176224,76561197973140692,mezii
False,12.100067,23.05069,176225,76561197973140692,mezii
False,12.487335,23.002625,176226,76561197973140692,mezii
False,12.825851,23.002625,176227,76561197973140692,mezii
False,13.2131195,22.954224,176228,76561197973140692,mezii
False,13.648804,22.857391,176229,76561197973140692,mezii
False,13.987656,22.80899,176230,76561197973140692,mezii
False,14.374924,22.712173,176231,76561197973140692,mezii
False,14.761841,22.566956,176232,76561197973140692,mezii
False,15.149109,22.421722,176233,76561197973140692,mezii
False,15.487976,22.228088,176234,76561197973140692,mezii
False,15.875244,22.034454,176235,76561197973140692,mezii
False,16.310913,21.744003,176236,76561197973140692,mezii
False,16.794662,21.356735,176237,76561197973140692,mezii
False,17.230347,20.969467,176238,76561197973140692,mezii
False,17.714417,20.437317,176239,76561197973140692,mezii
False,18.246918,19.711182,176240,76561197973140692,mezii
False,18.779068,18.888245,176241,76561197973140692,mezii
False,19.263153,17.92041,176242,76561197973140692,mezii
False,19.844055,16.758957,176243,76561197973140692,mezii
False,20.376556,15.597153,176244,76561197973140692,mezii
False,20.908691,14.338867,176245,76561197973140692,mezii
False,21.441193,13.080261,176246,76561197973140692,mezii
False,21.925278,12.160828,176247,76561197973140692,mezii
False,22.409363,11.531525,176248,76561197973140692,mezii
False,22.796295,11.192657,176249,76561197973140692,mezii
False,22.941513,11.095856,176250,76561197973140692,mezii
False,22.98993,11.095856,176251,76561197973140692,mezii
False,23.135147,11.192657,176252,76561197973140692,mezii
False,23.328781,11.434708,176253,76561197973140692,mezii
False,23.522415,11.579926,176254,76561197973140692,mezii
False,23.764465,11.77356,176255,76561197973140692,mezii
False,24.054901,12.01561,176256,76561197973140692,mezii
False,24.44217,12.354462,176257,76561197973140692,mezii
False,24.829102,12.838562,176258,76561197973140692,mezii
False,25.167969,13.370697,176259,76561197973140692,mezii
False,25.50682,13.951599,176260,76561197973140692,mezii
False,25.845673,14.532501,176261,76561197973140692,mezii
False,26.23294,15.306702,176262,76561197973140692,mezii
False,26.571808,16.129639,176263,76561197973140692,mezii
False,27.007141,17.049072,176264,76561197973140692,mezii
False,27.491226,18.017242,176265,76561197973140692,mezii
False,27.92691,18.936646,176266,76561197973140692,mezii
False,28.36258,19.808014,176267,76561197973140692,mezii
False,28.798248,20.679352,176268,76561197973140692,mezii
False,29.281998,21.647186,176269,76561197973140692,mezii
False,29.814484,22.80899,176270,76561197973140692,mezii
False,30.346985,24.06726,176271,76561197973140692,mezii
